subnum,year,english,math,science,computer,music,art,phys.ed,attendance
145,2011,51,71,48,64,81,90,89,225
146,2011,92,94,94,80,82,92,85,237
147,2011,62,80,84,64,78,88,87,232
148,2011,78,82,87,69,78,78,85,224
149,2011,86,83,92,66,79,90,84,217
150,2011,,,,,,,,
151,2011,94,86,95,78,79,92,87,228
152,2011,94,91,99,57,82,86,89,226
153,2011,43,64,75,46,76,84,87,221
154,2011,85,91,96,80,82,88,87,230
155,2011,97,97,100,91,80,92,87,239
156,2011,74,60,84,62,82,82,88,232
157,2011,97,94,97,88,82,84,86,233
158,2011,73,86,89,55,81,88,86,238
159,2011,91,90,99,70,82,90,89,229
160,2011,93,95,98,84,85,90,85,236
161,2011,87,90,83,72,75,82,85,235
162,2011,65,73,76,67,76,84,88,234
163,2011,89,93,98,74,82,82,87,234
164,2011,93,89,97,73,86,86,84,228
165,2011,93,95,93,77,89,92,86,226
166,2011,,,,,,,,
167,2011,87,85,89,72,78,80,86,237
168,2011,,,,,,,,
169,2011,88,85,94,78,81,86,86,221
170,2011,94,94,98,69,84,92,85,233
171,2011,90,93,97,77,81,84,87,237
172,2011,86,88,93,77,80,84,87,229
173,2011,95,87,100,81,79,92,84,223
174,2011,72,79,83,66,80,92,88,215
175,2011,72,73,87,68,83,86,88,231
176,2011,75,82,87,69,79,86,85,222
177,2011,59,80,76,65,80,86,87,236
178,2011,91,92,90,87,80,90,87,233
179,2011,91,88,98,78,84,86,87,234
180,2011,96,96,99,85,83,90,86,222
181,2011,88,96,100,86,77,82,88,237
182,2011,75,80,95,72,81,88,86,234
183,2011,96,96,100,73,81,90,89,226
184,2011,94,95,97,81,75,86,84,236
185,2011,85,79,92,69,79,92,86,235
186,2011,68,76,75,65,79,82,88,223
187,2011,72,76,90,68,79,94,88,214
188,2011,75,85,85,79,84,92,87,227
189,2011,90,94,95,79,85,86,88,227
190,2011,88,90,97,69,82,90,86,229
191,2011,48,46,64,49,76,86,87,199
192,2011,88,88,97,65,86,86,86,231
193,2011,77,82,77,66,80,86,85,207
194,2011,93,83,98,58,78,86,84,233
195,2011,98,94,99,68,76,88,87,221
196,2011,97,98,100,83,81,82,87,235
197,2011,45,76,67,65,77,86,86,223
198,2011,60,69,73,50,85,86,86,231
199,2011,48,71,61,66,80,86,86,217
200,2011,56,62,70,66,81,60,87,229
201,2011,81,86,91,51,79,90,89,236
202,2011,90,84,95,79,81,92,86,237
203,2011,86,89,92,75,84,82,85,236
204,2011,90,86,93,83,84,90,88,230
205,2011,76,69,78,49,76,85,86,232
206,2011,73,69,77,35,79,86,87,206
207,2011,96,97,96,86,87,88,89,229
208,2011,59,69,69,67,91,92,86,223
209,2011,75,86,86,53,77,86,85,235
210,2011,39,67,60,46,77,86,89,226
211,2011,92,89,98,72,79,86,88,237
212,2011,85,92,96,62,81,86,87,227
213,2011,69,69,79,59,77,82,88,232
214,2011,,,,,,,,
215,2011,66,80,74,64,85,90,85,209
