subnum,year,english,math,science,computer,music,art,phys.ed,attendance
186,2012,39,45,36,66,75,83,82,235
187,2012,63,52,74,75,74,82,73,225
188,2012,52,62,55,68,80,86,68,229
189,2012,82,70,80,79,80,83,83,237
190,2012,80,75,82,76,68,80,84,236
191,2012,25,33,33,63,70,80,84,224
192,2012,84,73,77,76,76,79,94,234
193,2012,73,51,66,73,75,80,86,225
194,2012,85,72,81,71,80,82,80,237
195,2012,92,90,90,70,74,82,78,233
196,2012,93,93,97,82,73,79,82,240
197,2012,57,65,55,66,73,77,82,229
198,2012,41,56,37,63,68,78,82,236
199,2012,34,63,25,72,73,81,87,219
200,2012,36,54,46,71,84,79,84,241
201,2012,63,69,86,70,72,82,89,239
202,2012,74,69,81,78,81,83,85,241
203,2012,79,87,92,77,75,77,86,241
204,2012,80,85,74,66,77,80,86,238
205,2012,54,52,68,55,70,79,85,240
206,2012,47,62,47,75,73,75,87,235
207,2012,93,88,91,74,78,78,87,235
208,2012,41,51,33,74,87,75,86,221
209,2012,63,85,60,72,65,80,84,236
210,2012,34,67,43,64,72,77,79,237
211,2012,84,83,82,74,75,77,82,242
212,2012,70,74,69,73,72,80,88,244
213,2012,46,61,54,74,70,79,92,234
214,2012,,,,,,,,
215,2012,61,59,69,72,70,78,78,208
