"subnum","year","placeval","ravens","wiat","woodcock","arith","wholegroupsums","abacus","age","female","condition","verbalwm","spatialwm","ans","english","math","science","computer","music","art","phys.ed","attendance","mental.rot"
145,2,0.272727273,0.75,0.3125,0.372093023,0.3125,0.178571429,1,6.8,1,"abacus",4.75,6.96,0.22,25,62,33,68,74,81,88,232,0.5
145,3,0.6,0.666666667,0.53125,0.465116279,0.354166667,0.5,1,6.8,1,"abacus",5.88,5,0.14,43,65,27,64,68,92,84,220,0.78125
146,0,0.454545455,0.666666667,0.125,0.209302326,0.1875,NA,0,7.3,0,"control",3.08,4.83,0.29,83,96,94,96,88,92,80,250,0.322916666666667
146,1,0.545454545,0.666666667,0.28125,0.302325581,0.208333333,NA,0,7.3,0,"control",2.92,4.17,0.13,92,94,94,80,82,92,85,237,0.395833333333333
146,2,0.545454545,0.75,0.34375,0.395348837,0.375,0.421428571,0,7.3,0,"control",2.5,4.08,0.11,75,85,87,76,74,82,88,245,0.59375
146,3,1,0.5,0.53125,0.488372093,0.5625,0.55,0,7.3,0,"control",4.75,5.33,0.09,79,85,59,74,62,92,79,238,0.625
148,0,0.181818182,NA,0.125,0.255813953,0.208333333,NA,1,6.2,0,"abacus",3,3.5,0.3,74,87,89,68,90,84,75,247,0.0104166666666667
148,1,0,0.666666667,0.15625,0.325581395,0.145833333,NA,1,6.2,0,"abacus",2.88,4.08,0.32,78,82,87,69,78,78,85,224,0.354166666666667
148,2,0.363636364,0.416666667,0.34375,0.418604651,0.333333333,0.292857143,1,6.2,0,"abacus",4.42,3.75,0.17,63,78,63,67,74,83,80,224,0.5
148,3,1,0.75,0.53125,0.534883721,0.75,0.828571429,1,6.2,0,"abacus",4.42,3.83,0.09,62,75,40,70,64,86,79,218,0.708333333333333
149,0,0.363636364,0.75,0.0625,0.302325581,0.166666667,NA,0,6.6,1,"control",4.12,3.67,0.44,83,91,91,76,88,88,75,224,-0.0729166666666667
149,1,0.363636364,0.583333333,0.25,0.348837209,0.145833333,NA,0,6.6,1,"control",4.08,3.21,0.13,86,83,92,66,79,90,84,217,0.375
149,2,1,0.666666667,0.34375,0.372093023,0.25,0.407142857,0,6.6,1,"control",4.79,3.62,0.1,55,71,69,78,79,76,82,230,0.5625
149,3,1,0.583333333,0.5625,0.534883721,0.333333333,0.528571429,0,6.6,1,"control",4.58,4.92,0.12,70,71,62,82,75,86,81,213,0.645833333333333
15,0,0.363636364,0.583333333,0.125,0.302325581,0.1875,NA,0,7.1,1,"control",4.17,2.17,0.36,79,98,96,92,90,92,76,250,0.270833333333333
15,1,0.909090909,0.583333333,0.21875,0.279069767,0.1875,NA,0,7.1,1,"control",2.67,3.54,0.23,94,87,98,69,83,86,88,231,0.291666666666667
15,2,1,0.791666667,0.46875,0.465116279,0.395833333,0.378571429,0,7.1,1,"control",6.17,4,0.11,88,89,86,80,74,81,82,237,0.333333333333333
15,3,1,0.666666667,0.59375,0.604651163,0.458333333,0.442857143,0,7.1,1,"control",4.71,3.83,0.11,88,87,77,82,73,92,81,234,0.53125
151,0,0.181818182,0.416666667,0.15625,0.302325581,0.020833333,NA,0,6.4,1,"control",3.04,3.17,0.22,65,89,84,82,90,92,81,237,NA
151,1,0.363636364,0.583333333,0.28125,0.348837209,0.229166667,NA,0,6.4,1,"control",4.38,4.08,0.19,94,86,95,78,79,92,87,228,0.291666666666667
151,2,0.545454545,0.541666667,0.40625,0.395348837,0.270833333,0.242857143,0,6.4,1,"control",4.33,2.58,0.12,69,64,68,72,73,88,78,219,0.4375
151,3,0.4,0.583333333,0.4375,0.418604651,0.125,0.442857143,0,6.4,1,"control",4.08,3.12,0.18,76,77,58,78,70,92,79,206,0.375
152,0,0.363636364,0.333333333,0.21875,0.279069767,0.104166667,NA,0,6.7,0,"control",3.08,2.88,0.3,88,97,98,92,91,90,91,239,0.208333333333333
152,1,0.272727273,0.75,0.25,0.23255814,0.166666667,NA,0,6.7,0,"control",2.96,3.96,0.13,94,91,99,57,82,86,89,226,0.697916666666667
152,2,0.363636364,0.708333333,0.40625,0.418604651,0.208333333,0.342857143,0,6.7,0,"control",3.88,1.83,0.13,86,96,95,79,74,80,75,225,0.65625
152,3,0.8,0.833333333,0.65625,0.558139535,0.4375,0.407142857,0,6.7,0,"control",4.75,5.17,0.08,95,91,89,74,63,88,82,236,0.666666666666667
153,0,0.363636364,0.583333333,NA,0.255813953,0.041666667,NA,0,6.1,1,"control",1.96,1.54,0.23,40,68,38,46,89,88,76,245,-0.0416666666666667
153,1,0,0.583333333,0.15625,0.23255814,0.145833333,NA,0,6.1,1,"control",2.62,3.25,0.19,43,64,75,46,76,84,87,221,0.15625
153,2,0,0.791666667,0.3125,0.325581395,0.1875,0.357142857,0,6.1,1,"control",6.75,4.21,0.16,33,49,33,64,71,83,82,232,0.53125
153,3,0.3,0.75,0.3125,0.418604651,0.25,0.414285714,0,6.1,1,"control",3.54,3.33,0.13,33,46,33,64,63,86,79,232,0.65625
154,0,0.272727273,0.583333333,0.125,0.162790698,0.041666667,NA,0,7.2,0,"control",1.62,2.25,0.19,74,96,85,84,88,88,85,250,0.416666666666667
154,1,0.363636364,0.666666667,0.28125,0.279069767,0.145833333,NA,0,7.2,0,"control",3.33,4.12,0.1,85,91,96,80,82,88,87,230,0.458333333333333
154,2,0.909090909,0.583333333,0.34375,0.418604651,0.208333333,0.321428571,0,7.2,0,"control",4.88,5.71,0.08,81,84,84,79,75,83,90,225,0.5
154,3,1,0.708333333,0.4375,0.511627907,0.4375,0.464285714,0,7.2,0,"control",3.67,4.71,0.06,86,83,80,82,65,92,83,230,0.583333333333333
155,0,0.272727273,0.75,0.28125,0.325581395,0.333333333,NA,1,6.8,1,"abacus",2.71,3.88,0.39,98,98,100,96,88,94,85,251,0.1875
155,1,0.545454545,0.416666667,0.46875,0.441860465,0.583333333,NA,1,6.8,1,"abacus",3.5,4.33,0.1,97,97,100,91,80,92,87,239,0.395833333333333
155,2,0.818181818,0.208333333,0.5,0.465116279,0.6875,0.892857143,1,6.8,1,"abacus",2.83,1.12,0.11,94,95,97,83,79,86,88,243,0.416666666666667
155,3,1,0.541666667,0.65625,0.604651163,0.875,0.985714286,1,6.8,1,"abacus",3.96,5.21,0.09,93,95,93,86,92,92,85,239,0.4375
156,0,0.272727273,0.5,0.09375,NA,0.041666667,NA,0,8.4,0,"control",1.46,3.25,NA,76,80,89,82,90,84,80,247,-0.125
156,1,0,0.416666667,0.125,0.23255814,0.104166667,NA,0,8.4,0,"control",2.96,2.04,NA,74,60,84,62,82,82,88,232,0.239583333333333
156,2,0.545454545,0.25,0.34375,0.325581395,0.125,0.121428571,0,8.4,0,"control",1.71,4.08,NA,59,44,60,65,69,73,80,241,0.34375
156,3,0.2,0.25,0.25,0.348837209,0.229166667,0.164285714,0,8.4,0,"control",1.75,1.12,NA,42,42,39,40,66,76,81,233,0.333333333333333
157,0,0.090909091,0.666666667,0.21875,0.325581395,0.166666667,NA,0,6.5,0,"control",5.62,3.75,0.21,88,95,95,70,90,90,81,245,0.416666666666667
157,1,0.636363636,0.833333333,0.34375,0.348837209,0.104166667,NA,0,6.5,0,"control",3.54,3.79,0.13,97,94,97,88,82,84,86,233,0.625
157,2,0.818181818,0.666666667,0.4375,0.372093023,0.166666667,0.35,0,6.5,0,"control",3.17,3.08,0.11,93,94,96,84,75,76,85,233,0.5625
157,3,0.9,0.5,0.5625,0.488372093,0.416666667,0.271428571,0,6.5,0,"control",3.88,2.88,0.11,93,88,92,84,68,92,81,236,0.458333333333333
158,0,0.363636364,0.333333333,0.03125,0.069767442,0.104166667,NA,0,6,0,"control",1.17,2.62,0.61,58,85,73,56,92,82,74,250,0.15625
158,1,0.181818182,0.166666667,0.15625,0.348837209,0.1875,NA,0,6,0,"control",2.75,3.67,0.3,73,86,89,55,81,88,86,238,0.364583333333333
158,2,0.181818182,0.5,0.3125,0.372093023,0.229166667,0.271428571,0,6,0,"control",3.38,3.79,0.13,54,73,64,74,78,78,80,239,0.520833333333333
158,3,0.2,0.75,0.46875,0.372093023,0.395833333,0.371428571,0,6,0,"control",3.46,3.04,0.14,70,75,68,72,68,86,81,237,0.625
159,0,0.272727273,0.666666667,NA,0.209302326,0.083333333,NA,0,6.4,1,"control",1.75,2.08,0.32,87,92,94,82,86,90,80,251,0.354166666666667
159,1,0,0.833333333,0.15625,0.302325581,0.1875,NA,0,6.4,1,"control",2.42,2.88,0.12,91,90,99,70,82,90,89,229,0.104166666666667
159,2,0,0.416666667,0.25,0.418604651,0.270833333,0.364285714,0,6.4,1,"control",3.88,3.33,0.19,80,89,88,78,78,77,83,236,0.34375
159,3,0.9,0.416666667,0.3125,0.395348837,0.354166667,0.357142857,0,6.4,1,"control",2.04,4.5,0.16,84,66,76,74,69,90,81,235,0.53125
16,0,0.272727273,0.916666667,0.09375,0.255813953,0.1875,NA,1,7.1,0,"abacus",1.25,2.96,0.12,73,90,81,80,87,88,75,242,0.4375
16,1,0,1,0.21875,0.372093023,0.208333333,NA,1,7.1,0,"abacus",4.5,3.25,0.11,70,79,87,57,75,90,87,223,0.583333333333333
16,2,0.454545455,0.708333333,0.3125,0.372093023,0.25,0.192857143,1,7.1,0,"abacus",3.5,4.38,0.09,48,65,53,65,72,82,90,229,0.791666666666667
16,3,1,0.625,0.4375,0.395348837,0.354166667,0.35,1,7.1,0,"abacus",3.12,4.5,0.11,80,74,47,68,58,82,81,235,0.6875
160,0,0.363636364,0.75,0.09375,0.302325581,0.208333333,NA,0,6.7,0,"control",3.33,3.25,0.64,89,96,98,84,90,86,75,251,0.604166666666667
160,1,1,0.833333333,0.34375,0.418604651,0.270833333,NA,0,6.7,0,"control",5.38,4.46,0.17,93,95,98,84,85,90,85,236,0.645833333333333
160,2,0.909090909,0.625,0.40625,0.395348837,0.375,0.421428571,0,6.7,0,"control",6.58,2.5,0.15,89,97,88,80,78,80,88,240,0.697916666666667
160,3,1,0.583333333,0.34375,0.488372093,0.4375,0.442857143,0,6.7,0,"control",4.62,4.38,0.14,82,91,79,80,65,82,82,236,0.71875
161,0,0.181818182,0.583333333,0.09375,0.093023256,0.083333333,NA,1,7.3,0,"abacus",3.62,3.46,0.36,88,91,96,86,86,86,76,246,0.385416666666667
161,1,0.545454545,0.833333333,0.34375,0.395348837,0.125,NA,1,7.3,0,"abacus",2.21,2.54,0.15,87,90,83,72,75,82,85,235,0.5
161,2,0.818181818,0.583333333,0.40625,0.395348837,0.270833333,0.342857143,1,7.3,0,"abacus",3.17,2.29,0.16,74,81,87,76,71,78,74,238,0.520833333333333
161,3,1,0.416666667,0.5625,0.534883721,0.416666667,0.392857143,1,7.3,0,"abacus",3.83,3.04,0.1,88,84,82,78,72,86,82,234,0.71875
162,0,0.181818182,0.333333333,0.125,0.302325581,0.083333333,NA,0,7.2,0,"control",2.33,1.25,0.33,78,89,89,78,84,84,85,235,0.21875
162,1,0.090909091,0.5,0.21875,0.302325581,0.1875,NA,0,7.2,0,"control",2.71,3.79,0.19,65,73,76,67,76,84,88,234,0.0416666666666667
162,2,0,0.5,0.40625,0.372093023,0.229166667,0.264285714,0,7.2,0,"control",3.25,3.25,0.18,28,34,42,66,69,76,89,239,0.270833333333333
162,3,1,0.083333333,0.4375,0.488372093,0.395833333,0.392857143,0,7.2,0,"control",3.33,3.83,0.16,37,53,35,64,62,86,83,221,0.3125
163,0,0.363636364,0.666666667,0.15625,0.279069767,0.25,NA,0,6.1,1,"control",4.46,2.75,0.74,91,92,98,78,87,92,75,245,0.208333333333333
163,1,0.181818182,0.5,0.28125,0.395348837,0.270833333,NA,0,6.1,1,"control",3.21,2.08,0.12,89,93,98,74,82,82,87,234,0.135416666666667
163,2,0.181818182,0.375,0.375,0.372093023,0.208333333,0.385714286,0,6.1,1,"control",4.33,5.58,0.16,70,72,72,74,77,82,80,236,0.239583333333333
163,3,1,0.458333333,0.53125,0.534883721,0.354166667,0.421428571,0,6.1,1,"control",3.83,5.21,0.16,62,57,51,62,68,86,80,235,0.458333333333333
164,0,0.454545455,0.583333333,NA,0.162790698,0.104166667,NA,0,7.1,1,"control",3.71,4.79,0.37,80,98,92,94,91,92,76,247,0.677083333333333
164,1,0.545454545,0.833333333,0.40625,0.418604651,0.270833333,NA,0,7.1,1,"control",4.12,4.54,0.22,93,89,97,73,86,86,84,228,0.625
164,2,1,0.833333333,0.3125,0.372093023,0.3125,0.435714286,0,7.1,1,"control",4.29,4.54,0.09,70,83,75,81,89,88,89,230,0.645833333333333
164,3,1,0.833333333,0.46875,0.465116279,0.5625,0.5,0,7.1,1,"control",3.38,4.5,0.12,85,83,77,80,74,92,79,232,0.916666666666667
165,0,0.454545455,0.916666667,0.125,0.279069767,0.1875,NA,0,6.2,0,"control",2.96,4.58,0.2,73,91,72,88,91,90,81,242,0.375
165,1,1,0.916666667,0.3125,0.372093023,0.145833333,NA,0,6.2,0,"control",3.88,3.71,0.15,93,95,93,77,89,92,86,226,0.729166666666667
165,2,0.909090909,0.916666667,0.5,0.441860465,0.354166667,0.392857143,0,6.2,0,"control",4.12,4,0.12,85,85,86,87,86,87,82,231,0.885416666666667
165,3,1,0.875,0.59375,0.558139535,0.479166667,0.528571429,0,6.2,0,"control",6.33,4.58,0.1,86,96,86,78,86,86,78,234,0.9375
167,0,0.272727273,0.583333333,0.09375,0.162790698,0.104166667,NA,1,6.4,0,"abacus",1.29,1.25,0.37,82,90,92,84,91,86,86,250,0.375
167,1,0.272727273,0.166666667,0.15625,0.302325581,0.125,NA,1,6.4,0,"abacus",2.33,3.25,0.19,87,85,89,72,78,80,86,237,NA
167,2,0.727272727,0.666666667,0.21875,0.348837209,0.291666667,0.471428571,1,6.4,0,"abacus",3.62,3.21,0.12,61,66,61,66,75,79,86,240,0.572916666666667
167,3,0.9,0.541666667,0.53125,0.511627907,0.5625,0.55,1,6.4,0,"abacus",4.58,4.62,0.17,86,80,83,78,82,86,87,237,0.6875
169,0,0.454545455,0.5,0.15625,0.23255814,0.1875,NA,0,8.5,1,"control",3.12,3.58,0.44,81,86,93,78,91,82,76,239,0.239583333333333
169,1,0.363636364,0.666666667,0.25,0.325581395,0.208333333,NA,0,8.5,1,"control",3.29,4.21,0.11,88,85,94,78,81,86,86,221,0.375
169,2,0.636363636,0.333333333,0.4375,0.372093023,0.25,0.435714286,0,8.5,1,"control",4.25,1.92,0.12,75,70,68,70,74,76,69,203,0.458333333333333
169,3,0.9,0.583333333,0.5625,0.581395349,0.4375,0.457142857,0,8.5,1,"control",3.25,3.83,0.12,80,75,62,82,77,92,79,230,0.479166666666667
17,0,0.272727273,0.583333333,NA,0.255813953,0.166666667,NA,0,6.7,0,"control",1.88,2.88,NA,81,96,88,82,87,88,89,244,0.166666666666667
17,1,0.090909091,0.666666667,0.15625,0.279069767,0.145833333,NA,0,6.7,0,"control",2.92,3.17,0.18,76,77,82,71,79,86,87,217,0.59375
17,2,0.818181818,0.666666667,0.46875,0.418604651,0.354166667,0.35,0,6.7,0,"control",3.25,4.42,0.12,76,83,92,71,78,80,84,227,0.65625
17,3,1,0.583333333,0.6875,0.581395349,0.479166667,0.457142857,0,6.7,0,"control",3.79,4.5,0.13,78,93,81,82,67,82,82,228,0.770833333333333
170,0,0.363636364,0.5,0.03125,0.162790698,0.166666667,NA,0,6.1,1,"control",4.21,1.75,0.59,82,85,86,76,86,92,75,238,0.208333333333333
170,1,0.454545455,0.25,0.21875,0.209302326,0.0625,NA,0,6.1,1,"control",3.62,4.38,0.77,94,94,98,69,84,92,85,233,0.270833333333333
170,2,0.181818182,0.666666667,0.46875,0.441860465,0.3125,0.171428571,0,6.1,1,"control",2.38,4,0.25,91,88,97,72,78,73,73,242,0.5625
170,3,0.7,0.458333333,0.46875,0.395348837,0.3125,0.135714286,0,6.1,1,"control",3.17,3.92,0.45,92,79,88,62,69,82,78,238,0.6875
171,0,0.454545455,NA,0.09375,0.209302326,0.1875,NA,1,6.8,0,"abacus",1.12,1.21,0.32,86,88,85,70,89,84,86,250,0.197916666666667
171,1,0.090909091,0.166666667,0.125,0.302325581,0.145833333,NA,1,6.8,0,"abacus",3.33,2.83,0.1,90,93,97,77,81,84,87,237,0.395833333333333
171,2,0.090909091,0.416666667,0.3125,0.372093023,0.166666667,0.128571429,1,6.8,0,"abacus",3.79,3.38,0.12,39,51,43,71,81,80,88,236,0.333333333333333
171,3,0.5,0.458333333,0.3125,0.372093023,0.291666667,0.342857143,1,6.8,0,"abacus",5.08,5.17,0.09,39,59,36,66,74,82,88,230,0.604166666666667
172,0,0.181818182,0.166666667,0.09375,0.255813953,0.145833333,NA,1,6.5,0,"abacus",1.67,1.67,0.24,79,91,86,70,89,90,75,230,0.145833333333333
172,1,0.454545455,0.583333333,0.28125,0.325581395,0.25,NA,1,6.5,0,"abacus",4.62,4.88,0.15,86,88,93,77,80,84,87,229,0.34375
172,2,0.454545455,0.375,0.34375,0.395348837,0.270833333,0.328571429,1,6.5,0,"abacus",4.54,5.83,0.14,61,54,66,71,73,78,87,217,0.572916666666667
172,3,1,0.5,0.46875,0.465116279,0.291666667,0.414285714,1,6.5,0,"abacus",4.42,4.71,0.11,82,81,62,62,74,86,85,226,0.770833333333333
173,0,0.454545455,0.833333333,0.125,0.302325581,0.208333333,NA,1,6.5,0,"abacus",4.25,3.88,0.38,92,89,98,92,85,92,75,235,0.510416666666667
173,1,0.181818182,0.833333333,0.28125,0.302325581,0.25,NA,1,6.5,0,"abacus",4.29,3.08,0.16,95,87,100,81,79,92,84,223,0.364583333333333
173,2,0.181818182,0.833333333,0.5,0.395348837,0.395833333,0.335714286,1,6.5,0,"abacus",4.12,3.75,0.13,89,85,92,66,77,78,82,228,0.8125
173,3,1,0.708333333,0.5625,0.558139535,0.5625,0.542857143,1,6.5,0,"abacus",4.5,5,0.11,89,85,89,78,64,84,84,227,0.791666666666667
174,0,0.272727273,0.416666667,0.15625,0.279069767,0.125,NA,0,7.4,0,"control",3.38,3.75,0.32,86,98,93,86,88,88,76,244,0.395833333333333
174,1,0.636363636,0.666666667,0.15625,NA,0.229166667,NA,0,7.4,0,"control",3.88,3.83,0.06,72,79,83,66,80,92,88,215,0.520833333333333
174,2,0.909090909,0.625,0.375,0.372093023,0.291666667,0.292857143,0,7.4,0,"control",3.83,3.58,0.07,55,68,59,67,73,79,83,237,0.416666666666667
174,3,1,0.666666667,0.34375,0.441860465,0.354166667,0.371428571,0,7.4,0,"control",3.88,5.33,0.08,58,67,42,78,62,82,81,233,0.677083333333333
176,0,0.363636364,0.666666667,0.0625,0.209302326,0.083333333,NA,0,6.1,1,"control",2.75,1.58,0.28,67,82,80,70,91,84,76,241,0.229166666666667
176,1,0.181818182,0.5,0.09375,0.255813953,0.0625,NA,0,6.1,1,"control",2.42,2.25,0.15,75,82,87,69,79,86,85,222,0.270833333333333
176,2,0.181818182,0.541666667,0.3125,0.325581395,0.208333333,0.171428571,0,6.1,1,"control",2.58,4.08,0.2,43,53,58,70,68,75,80,229,0.458333333333333
176,3,0.4,0.541666667,0.375,0.395348837,0.270833333,0.264285714,0,6.1,1,"control",2.83,4.17,0.14,49,66,41,74,66,88,80,236,0.5625
177,0,0.363636364,0.583333333,0.09375,0.139534884,0.083333333,NA,0,6.5,0,"control",2.79,1.12,0.55,63,86,77,82,80,86,80,244,0.385416666666667
177,1,0.545454545,0.833333333,0.25,0.395348837,0.229166667,NA,0,6.5,0,"control",1.58,4,0.14,59,80,76,65,80,86,87,236,0.291666666666667
177,2,1,0.708333333,0.3125,0.348837209,0.375,0.328571429,0,6.5,0,"control",3.38,4.58,0.13,35,49,40,70,74,75,80,238,0.1875
177,3,0.9,0.75,0.375,0.488372093,0.5,0.492857143,0,6.5,0,"control",3.25,4.58,0.13,45,62,27,42,59,80,78,237,0.770833333333333
178,0,0.272727273,0.416666667,0.15625,0.209302326,0.125,NA,1,7.5,1,"abacus",2.96,2.33,0.69,75,89,80,76,88,84,80,233,0.114583333333333
178,1,0.818181818,0.5,0.375,0.372093023,0.270833333,NA,1,7.5,1,"abacus",3.21,4,0.21,91,92,90,87,80,90,87,233,0.3125
178,2,1,0.541666667,0.4375,0.465116279,0.479166667,0.442857143,1,7.5,1,"abacus",3.71,3.46,0.19,68,67,56,71,76,84,84,241,0.3125
178,3,1,0.583333333,0.5625,0.604651163,0.583333333,0.585714286,1,7.5,1,"abacus",4.17,4.58,0.26,73,82,53,66,70,88,84,236,0.635416666666667
179,0,0.363636364,0.75,0.125,0.255813953,0.1875,NA,1,6.3,1,"abacus",4.71,4.29,0.23,88,88,89,88,91,88,76,246,0.25
179,1,0.363636364,0.583333333,0.34375,0.441860465,0.208333333,NA,1,6.3,1,"abacus",3.88,4.71,0.17,91,88,98,78,84,86,87,234,0.260416666666667
179,2,1,0.5,0.4375,0.372093023,0.458333333,0.428571429,1,6.3,1,"abacus",2.96,3.46,0.09,89,79,89,80,77,80,80,240,0.416666666666667
179,3,1,0.5,0.53125,0.534883721,0.583333333,0.492857143,1,6.3,1,"abacus",4.08,4.33,0.17,82,83,62,64,87,90,81,224,0.489583333333333
18,0,0.090909091,0.416666667,NA,0.302325581,0.1875,NA,0,6.9,1,"control",3.83,2.54,0.23,91,94,92,96,90,90,76,242,-0.0104166666666667
18,1,0.545454545,0.916666667,0.3125,0.418604651,0.291666667,NA,0,6.9,1,"control",2.83,4.54,0.14,92,89,94,92,96,90,87,213,0.510416666666667
18,2,0.909090909,0.875,0.46875,0.441860465,0.416666667,0.478571429,0,6.9,1,"control",3.46,3.25,0.08,93,90,95,78,83,90,78,228,0.760416666666667
18,3,1,0.833333333,0.71875,0.627906977,0.583333333,0.6,0,6.9,1,"control",3.54,3.71,0.08,93,94,92,74,91,92,82,235,1
180,0,0.545454545,0.583333333,0.1875,0.302325581,0.291666667,NA,1,6.2,1,"abacus",4.67,4.04,0.22,83,95,91,86,91,88,75,234,0.229166666666667
180,1,0.454545455,0.833333333,0.3125,0.372093023,0.270833333,NA,1,6.2,1,"abacus",4.79,4.25,0.15,96,96,99,85,83,90,86,222,0.697916666666667
180,2,1,0.916666667,0.46875,0.465116279,0.458333333,0.535714286,1,6.2,1,"abacus",6.79,5.83,0.09,93,94,93,82,82,89,85,227,0.666666666666667
180,3,1,0.583333333,0.5625,0.465116279,0.375,0.457142857,1,6.2,1,"abacus",4.5,3.96,0.08,95,89,84,88,83,90,85,211,0.75
181,0,0.181818182,0.916666667,0.1875,0.23255814,0.1875,NA,1,6.9,0,"abacus",3.75,4.83,0.12,92,92,93,92,91,86,75,248,0.614583333333333
181,1,0.727272727,0.833333333,0.3125,0.325581395,0.1875,NA,1,6.9,0,"abacus",4.21,7.12,0.32,88,96,100,86,77,82,88,237,0.645833333333333
181,2,1,0.958333333,0.4375,0.325581395,0.354166667,0.407142857,1,6.9,0,"abacus",3.08,2.83,0.18,76,84,71,79,73,78,88,239,0.760416666666667
181,3,1,0.833333333,0.40625,0.465116279,0.333333333,0.478571429,1,6.9,0,"abacus",4.21,5.71,0.1,59,83,52,72,57,84,81,236,0.645833333333333
182,0,0,0.333333333,0.0625,0.279069767,0.083333333,NA,0,6.3,1,"control",2.38,1.71,0.22,80,88,91,90,91,86,76,244,0.0625
182,1,0.090909091,0.583333333,0.21875,0.325581395,0.125,NA,0,6.3,1,"control",2.96,2.54,0.2,75,80,95,72,81,88,86,234,0.260416666666667
182,2,0.272727273,0.458333333,0.34375,0.348837209,0.291666667,0.235714286,0,6.3,1,"control",5.29,4.96,0.09,66,63,73,73,72,77,81,232,0.614583333333333
182,3,0.6,0.666666667,0.59375,0.441860465,0.333333333,0.4,0,6.3,1,"control",4.17,2.92,0.17,71,60,45,64,66,88,83,236,0.395833333333333
183,0,0.363636364,0.5,0.03125,0.186046512,0.1875,NA,1,6.4,0,"abacus",2.46,3.29,0.36,95,93,99,78,85,84,80,244,NA
183,1,0.181818182,0.166666667,0.34375,0.348837209,0.25,NA,1,6.4,0,"abacus",3.25,2.04,0.15,96,96,100,73,81,90,89,226,-0.0208333333333333
183,2,1,0.416666667,0.375,0.395348837,0.479166667,0.371428571,1,6.4,0,"abacus",4.71,3.92,0.12,90,90,92,78,57,76,79,237,0.354166666666667
183,3,1,0.458333333,0.5625,0.558139535,0.729166667,0.642857143,1,6.4,0,"abacus",3.83,4.5,0.11,93,96,93,66,70,86,78,232,0.583333333333333
184,0,0.181818182,0.416666667,0.15625,0.162790698,0.25,NA,1,7.5,0,"abacus",3.71,1.71,NA,88,90,93,88,85,84,84,246,0.427083333333333
184,1,0,0.583333333,0.21875,0.255813953,0.166666667,NA,1,7.5,0,"abacus",3.88,3.62,0.29,94,95,97,81,75,86,84,236,0.520833333333333
184,2,0.545454545,0.708333333,0.4375,0.418604651,NA,0.328571429,1,7.5,0,"abacus",3.58,4.42,0.22,91,91,93,77,69,77,82,241,0.46875
184,3,1,0.75,0.5625,0.558139535,0.5,0.492857143,1,7.5,0,"abacus",5.29,3.33,0.12,93,91,94,66,64,88,82,236,0.625
186,0,0.272727273,0.5,0.0625,0.186046512,0.145833333,NA,1,6.2,0,"abacus",2.75,2.5,0.28,40,55,49,64,84,86,75,225,NA
186,1,0.090909091,0.666666667,0.21875,0.325581395,0.25,NA,1,6.2,0,"abacus",4.83,2,NA,68,76,75,65,79,82,88,223,0.104166666666667
186,2,0.727272727,NA,0.28125,0.325581395,0.166666667,0.057142857,1,6.2,0,"abacus",4.58,3.29,0.09,39,45,36,66,75,83,82,235,0.427083333333333
186,3,1,0.291666667,0.34375,0.395348837,0.395833333,0.414285714,1,6.2,0,"abacus",4,4.08,0.13,48,54,37,64,71,82,79,232,0.510416666666667
187,0,0.272727273,0.333333333,0.03125,0.23255814,0.104166667,NA,1,6.1,1,"abacus",1.38,1.17,0.38,44,66,58,80,91,86,79,234,0.0729166666666667
187,1,0,0.166666667,0.21875,0.348837209,0.229166667,NA,1,6.1,1,"abacus",2.25,1.67,0.23,72,76,90,68,79,94,88,214,0.0208333333333333
187,2,0.363636364,0.75,0.34375,0.348837209,0.354166667,0.285714286,1,6.1,1,"abacus",3.29,3.33,0.11,63,52,74,75,74,82,73,225,0.208333333333333
187,3,1,0.125,0.5625,0.511627907,0.520833333,0.6,1,6.1,1,"abacus",5,3.54,0.11,73,70,63,72,70,86,84,231,0.479166666666667
188,0,0.272727273,0.666666667,0.125,0.23255814,0.104166667,NA,0,7,1,"control",3.75,2.29,0.23,77,92,86,98,89,90,76,243,NA
188,1,0.363636364,0.833333333,0.21875,0.325581395,0.125,NA,0,7,1,"control",3.21,3.38,0.21,75,85,85,79,84,92,87,227,0.416666666666667
188,2,0.363636364,0.833333333,0.25,0.302325581,0.270833333,0.257142857,0,7,1,"control",3.92,5.08,0.16,52,62,55,68,80,86,68,229,0.520833333333333
188,3,0.5,0.333333333,0.375,0.348837209,0.416666667,0.4,0,7,1,"control",3.96,3.83,0.14,55,62,49,66,70,92,81,211,0.583333333333333
189,0,0.272727273,0.916666667,0.0625,0.279069767,0.145833333,NA,0,7,0,"control",3.12,4.42,0.13,89,93,97,90,91,90,80,250,0.479166666666667
189,1,0.727272727,0.666666667,0.21875,0.348837209,0.208333333,NA,0,7,0,"control",3.17,3.67,0.15,90,94,95,79,85,86,88,227,0.53125
189,2,1,0.666666667,0.28125,0.488372093,0.3125,0.385714286,0,7,0,"control",4.25,4.71,0.11,82,70,80,79,80,83,83,237,0.4375
189,3,1,0.833333333,0.65625,0.558139535,0.520833333,0.471428571,0,7,0,"control",4.5,4.29,0.09,83,86,74,74,55,90,80,214,0.895833333333333
19,0,0.181818182,0.75,0.125,0.209302326,0.166666667,NA,0,5.8,0,"control",2.29,2.21,NA,62,88,87,68,91,84,75,245,0.520833333333333
