subnum,abacus,pg1_1,pg1_2,pg1_3,pg1_4,pg1_5,pg1_6,pg1_7,pg1_8,pg1_9,pg1_10,pg1_11,pg1_12,pg1_13,pg1_14,pg1_15,pg1_16,pg2_1,pg2_2,pg2_3,pg2_4,pg2_5,pg2_6,pg2_7,pg2_8,pg2_9,pg2_10,pg2_11,pg2_12,pg2_13,pg2_14,pg2_15,pg2_16,pg3_1,pg3_2,pg3_3,pg3_4,pg3_5,pg3_6,pg3_7,pg3_8,pg3_9,pg3_10,pg3_11,pg3_12,pg3_13,pg3_14,pg3_15,pg3_16
22,0,8,9,15,17,42,87,50,73,7,4,9,8,45,23,46,26,10,42,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,8,9,15,17,42,87,60,73,7,4,9,8,36,17,44,34,10,48,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,5,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,64,412,3,3,22,22,122,142,410,1044,,,,,,,,,,,,,,,,,,,,
25,1,8,9,15,17,42,87,60,82,7,4,9,8,45,23,46,26,10,48,63,52,3,8,22,18,121,131,320,944,1449,1322,9372,18930,84,153,,,,,,,,,,,,,,
26,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,44,24,10,48,67,52,3,7,22,18,111,142,430,944,1409,232,15.9372,18430,64,,,,,,,,,,,,,,,
27,0,8,9,15,17,42,87,60,63,8,4,9,8,45,23,46,26,10,48,63,52,0,8,22,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,8,9,15,17,42,87,60,74,7,4,9,8,45,23,46,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,8,9,15,17,42,87,60,73,7,4,9,8,45,20,52,33,10,,,,,,,,,121,142,430,944,1449,,,,,,,,,,,,,,,,,,
30,0,8,9,15,17,42,87,60,73,7,4,9,8,45,27,47,46,10,48,63,54,3,7,22,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,16,10,48,63,412,3,7,22,18,,,,,,,,,,,,,,,,,,,,,,,,
34,0,8,9,15,17,40,80,60,73,7,4,9,8,54,23,46,,10,48,63,52,3,,,,121,142,430,944,1449,1332,,,,,,,,,,,,,,,,,,
35,1,8,9,15,17,42,87,60,63,7,4,9,8,45,23,44,46,10,42,63,52,3,7,22,21,121,132,430,944,1449,1332,6672,18930,84,58,127,148,406,778,8,23400,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,8,9,15,17,41,87,90,35,7,4,9,8,45,23,46,26,10,48,63,22,3,7,,,121,152,399,934,,,,,,,,,,,,,,,,,,,,
38,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,42,63,52,3,7,20,17,121,,,,,,,,,,,,,,,,,,,,,,,
39,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,12,8,122,142,420,1448,1448,1342,9372,18930,73,153,327,148,406,769,1273,546,45,,,,,,,
40,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,42,3,7,,,121,142,430,944,1449,1332,,,,,,,,,,,,,,,,,,
41,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,42,3,,,,121,,,,,,,,,,,,,,,,,,,,,,,
42,1,8,9,15,17,42,87,510,145,7,4,9,8,45,23,54,34,10,18,63,34,45,45,94,32,121,94,35,94,32,443,4349,145,84,53,634,432,145,132,1455,132,145,13,32,45,32,45,35,45
43,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,18,121,142,430,944,1449,1332,9372,18930,84,153,326,148,406,679,2658,6370,180,143,468,155,80,,,
44,1,8,9,15,17,42,87,60,72,7,4,9,8,45,23,45,25,10,48,63,52,3,7,22,38,121,142,430,944,1419,1332,9372,,,,,,,,,,,,,,,,,
45,0,8,9,15,17,42,87,60,70,10,40,70,12,35,40,54,35,10,48,63,47,69,23,34,68,92,63,54,96,72,94,89,67,64,96,54,69,92,54,67,67,,,,,,,,
46,0,8,4,3,2,4,9,8,12,12,16,78,88,25,12,12,18,10,21,12,16,18,19,12,18,10,19,16,19,18,110,120,10,10,742,180,18,12,,,,,,,,,,,
47,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,18,121,142,630,944,1449,1332,9372,,,,,,,,,,,,,,,,,
48,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,49,26,10,48,63,52,3,7,4,,121,,,,,,,,,,,,,,,,,,,,,,,
49,1,8,9,15,17,15,87,60,73,7,4,9,8,72,28,182,36,10,48,63,26,13,26,36,72,28,142,183,754,893,743,,,,,,,,,,,,,,,,,,
50,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,36,10,48,63,52,3,7,32,,122,142,430,945,1449,1332,937,18930,,,,,,,,,,,,,,,,
51,1,8,9,15,17,42,87,510,73,7,4,9,8,54,23,44,78,10,48,63,160,3,7,22,52,121,142,430,944,1399,1332,9372,18930,267,243,,,,,,,,,,,,,,
52,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,100,26,10,48,63,52,3,,,,122,142,420,944,1449,1232,9372,18930,89,153,,,,,,,,,,,,,,
53,1,8,9,15,18,42,87,60,73,7,4,9,8,45,23,32,22,10,48,63,60,27,,,,226,142,409,194,1082,1277,8321,18930,184,252,,,,,,,,,,,,,,
54,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,78,10,48,63,52,3,7,,,121,142,430,944,1449,1332,9372,18930,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,8,12,15,17,42,72,85,95,7,4,9,8,74,41,63,74,10,43,48,47,819,41,47,,,,430,174,6171,417,59,9312,469,421,349,5171,714,314,413,413,414,711,421,4231,471,471,432,371
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,8,131,142,430,944,1449,1332,9372,18930,4,,,,,,,,,,,,,,,
59,0,8,9,16,17,24,213,114,613,7,145,,,,,,,10,48,13,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,8,9,15,17,42,87,60,73,7,4,10,8,47,23,54,34,10,48,63,,21,,,,121,142,430,944,1449,1332,9372,18930,856,281,333,152,1750,387,3342,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,8,9,15,17,42,87,65,83,7,4,9,8,40,28,45,64,10,48,54,52,,,,,123,147,,360,692,9486,9372,18930,80,145,145,155,482,1430,1480,1485,,,,,,,,
63,1,8,9,15,17,42,87,50,72,7,4,9,8,45,22,46,20,10,48,63,52,3,7,,,121,42,430,944,1447,1344,9372,18930,84,153,236,48,406,,,,,,,,,,,
64,0,8,9,15,17,42,87,60,73,7,4,19,18,45,23,56,36,10,48,81,52,3,7,,,121,142,,,,,,,,,,,,,,,,,,,,,,
65,1,8,9,15,17,42,87,60,72,7,4,9,125,45,23,46,16,10,48,54,,0,,,,122,142,440,1054,1448,1232,9372,18930,84,154,327,,,,,,,,,,,,,
66,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,34,10,48,63,52,,,,,121,142,430,944,1449,1322,159372,178930,84,,,,,,,,,,,,,,,
67,0,8,9,16,18,42,87,48,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,8,9,15,17,42,87,60,73,7,4,1,8,45,23,54,34,10,52,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0,8,9,15,17,42,87,510,613,7,4,9,10,45,63,910,36,10,48,63,56,3,7,2,,112,1312,3112,81314,,,,,,,,,,,,,,,,,,,,
70,1,8,9,15,17,42,87,50,73,7,4,9,8,45,23,46,26,10,52,,52,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,,,,122,142,430,944,1449,1332,9372,,,,,,,,,,,,,,,,,
72,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,18,121,142,430,944,1449,1332,9372,18930,83,153,327,148,1606,,,,,,,,,,,
73,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,54,34,10,48,63,52,3,6,22,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,8,9,15,18,42,87,60,72,7,4,9,8,45,23,40,16,10,48,63,52,3,7,,,126,142,420,954,1492,1422,9372,18930,69,153,236,98,406,778,2218,2370,145,131,144,1750,,,,
76,0,7,9,15,17,42,87,60,73,7,4,10,8,45,23,46,26,10,48,63,52,3,7,44,,101,142,430,944,1444,1332,9372,18930,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,73,52,3,7,22,7,121,142,430,944,1449,1342,9372,0,,,,,,,,,,,,,,,,
80,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,54,34,10,68,69,42,,,,,131,144,330,894,,,,,,,,,,,,,,,,,,,,
81,1,8,9,15,17,43,88,34,91,31,45,31,45,30,40,90,80,10,24,98,39,40,39,94,38,40,90,80,944,1049,969,349,340,124,391,894,152,390,405,894,912,381,6266,394,940,949,899,991,947
82,1,8,9,15,17,42,87,60,73,7,4,9,8,45,13,46,26,10,48,63,52,,,,,69,142,330,944,1449,1332,9372,18930,84,153,328,148,406,778,,,,,,,,,,
83,0,8,9,15,17,42,77,43,90,36,40,23,18,40,30,45,30,10,30,32,44,33,55,66,40,39,63,123,360,400,900,900,,124,207,400,500,300,5436,580,400,500,400,,,,,,
84,1,8,9,15,17,32,87,60,73,7,4,19,27,38,12,13,32,10,20,28,98,,,,,289,252,321,829,1230,2013,12312,12210,124,333,333,252,2761,3731,77017,8403,2711,1311,1231,2731,2314,2366,45275,112251
85,1,8,9,15,17,63,87,41,73,7,4,9,8,13,23,51,30,10,30,63,124,,,,,106,142,330,899,129,,,,,,,,,,,,,,,,,,,
86,0,7,9,19,16,69,28,36,38,7,10,16,14,19,10,20,62,10,12,35,140,18,8,9,14,140,34,18,21,160,198,1998,1200,350,2019,350,6543,1986,70385,4864,1479,210,680,210,390,659,666,687,
87,0,8,9,15,16,42,87,60,63,7,4,8,8,45,23,54,34,10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,8,9,15,17,42,87,60,73,7,4,9,8,45,22,46,26,10,48,62,52,3,8,22,18,,,,,,,,,,,,,,,,,,,,,,,,
89,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,8,22,18,,,,,,,,,,,,,,,,,,,,,,,,
90,0,8,9,15,17,42,87,60,73,7,4,8,7,45,23,46,144,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,8,9,15,17,42,87,60,72,7,5,13,8,45,23,10,15,10,48,63,,3,7,,,121,131,440,944,144,1133,8372,,24,102,816,,,,,,,,,,,,,
92,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,44,27,10,48,63,16,3,7,14,15,121,141,248,944,1392,1243,9372,1893,83,153,727,1002,406,594,,,,,,,,,,
93,0,8,9,15,17,42,87,60,63,6,4,9,8,45,23,12,23,10,48,63,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,8,9,15,17,42,87,60,73,7,4,,8,45,23,73,74,10,48,,82,,,,,121,142,,,,,,,,,,,,,,,,,,,,,,
95,0,8,9,15,17,42,807,60,73,7,4,8,8,45,23,810,74,10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,46,81,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1,8,9,15,17,42,87,60,73,7,4,4,8,45,23,100,24,10,48,54,22,3,9,42,47,76,27,440,944,1449,1332,,,,,,,,,,,,,,,,,,
98,0,8,9,15,17,42,87,60,73,7,4,11,8,45,23,46,26,10,,63,52,3,,,,121,142,,,,,,,,,,,,,,,,,,,,,,
99,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,6,22,18,119,142,430,1044,1449,1332,9372,18930,,,,,,,,,,,,,,,,
100,0,8,9,15,17,42,87,60,73,7,4,9,8,40,23,86,26,10,48,63,52,3,7,22,18,121,142,430,,,,,,,,,,,,,,,,,,,,,
101,0,8,9,15,17,42,87,510,37,7,4,9,7,,,,,10,48,72,58,,,,,121,110,,,,,,,,,,,,,,,,,,,,,,
102,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,54,34,10,48,72,52,,,,,,173,430,941,1249,1332,9312,,,,,,,,,,,,,,,,,
103,0,8,9,15,17,42,87,60,73,7,4,11,12,45,23,34,34,10,48,87,52,63,92,81,92,65,91,130,816,1449,162,181,190,,,,,,,,,,,,,,,,
104,1,8,9,16,17,42,,70,73,7,4,9,8,45,23,42,21,10,42,56,22,,,,,121,42,430,944,1459,1332,9372,,,,,,,,,,,,,,,,,
105,1,8,9,15,17,42,87,60,73,7,4,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,8,9,15,17,42,87,60,73,7,4,9,8,60,40,60,40,10,48,63,52,3,22,22,23,22,60,400,800,1300,1200,9000,16000,60,,,,,,,,,,,,,,,
107,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,42,26,10,48,63,52,,,,4,121,141,,,,,,,,,,,,,,,,,,,,,,
108,1,8,9,15,17,42,77,60,73,7,4,9,8,45,23,36,16,10,48,63,52,3,7,6,4,121,141,430,954,1449,1332,9372,18930,84,53,634,924,635,643,922,433,,,,,,,,
109,1,8,9,15,17,42,87,51,65,7,4,9,8,55,23,45,38,10,56,63,72,3,7,22,17,121,132,430,944,1449,,,,,,,,,,,,,,,,,,,
110,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,18,121,142,430,944,1449,1342,9372,19950,84,153,327,108,406,728,2658,13500,72,44,418,1825,18,12,25,37
111,0,8,9,15,17,42,82,52,38,65,4,3,5,10,20,40,60,10,48,63,52,51,9,3,2,0,1,5,6,8,10,12,13,31,52,21,82,63,72,84,95,63,62,61,50,49,46,45,42
112,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,58,3.3,8.7,4.44,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,54,34,10,48,63,39,3,64,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,53,52,6,7,9,11,121,,,,,,,,,,,,,,,,,,,,,,,
116,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,117,121,142,430,944,1499,1343,30867,191100,83,,,,,,,,,,,,,,,
117,1,8,9,15,17,42,87,60,72,7,5,8,8,45,23,46,26,10,48,63,124,27,46,352,162,121,142,430,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0,8,9,15,17,42,87,60,73,6,4,10,9,45,23,64,26,10,48,63,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,,,,,,121,142,,,,,,,,,,,,,,,,,,,,,,
124,0,8,9,15,17,42,87,60,71,7,4,9,8,45,23,48,26,10,42,63,52,3,7,,,,142,,,,,,,184,3,,,,,,,85,,,,,,,
125,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,,,,,,,,,,84,,327,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,72,82,10,48,81,48,418,84,98,22,121,142,430,948,629,8728,728,972,,,,,,,,,,,,,,,,
129,1,8,9,15,17,42,87,60,82,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,18,121,,,,,,,,,,,,,,,,,,,,,,,
130,1,8,9,15,17,42,87,60,70,7,4,9,8,12,23,46,26,10,48,63,52,3,7,22,108,121,142,,,,,,,,,,,,,,,,,,,,,,
131,0,8,9,15,17,42,87,60,73,7,4,9,8,41,,,,10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1,8,9,15,17,42,97,60,73,7,10,14,8,105,23,107,31,10,13,14,22,2,3,10,9,,,,,,,,,,,,,,,,,,,,,,,,
134,1,8,9,14,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,2,8,22,18,126,142,,,,,,,,,,,,,,,,,,,,,,
135,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1,8,9,15,17,42,80,60,73,7,4,9,7,40,23,54,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,8,9,15,17,42,87,84,68,7,4,13,8,45,22,15,36,10,48,63,16,6,13,84,53,140,15,163,9434,,,,,,,,,,,,,,,,,,,,
138,1,8,9,17,17,42,87,50,63,7,4,9,8,55,57,15,50,10,42,62,45,52,,63,73,84,,,,,,,,,,,,,,,,,,,,,,,
139,0,8,9,15,17,42,34,69,40,90,81,92,61,20,10,22,92,10,19,30,92,8,10,92,34,89,46,92,69,40,80,96,24,30,40,41,93,60,90,108,1008,2.82,8.38,1236,934,49,60,93,69
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,45,25,10,48,63,52,3,7,22,18,121,141,420,944,1489,1322,9831,18930,84,153,312,210,406,789,,23179,,,,,,,,
142,1,8,9,15,17,25,37,610,713,7,4,18,8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1,8,9,15,17,42,77,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,21,121,142,430,949,1492,1330,93720,19990,103,153,427,,,,,,,,,,,,,
145,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,27,10,40,72,712,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,54,34,10,48,63,52,3,7,16,,121,142,330,944,1449,1332,9372,18930,64,147,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,,,121,142,430,944,1449,1332,9372,18930,84,153,327,148,406,778,7658,,,,,,,,,
149,0,8,9,15,17,42,87,60,73,7,4,9,8,35,23,45,26,10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,0,8,9,12,14,18,30,41,42,7,4,7,2,4,6,8,10,10,48,69,48,46,47,48,49,50,51,53,54,55,57,2231,9848,93,97,98,996,947,998,943,662,554,332,122,122,,,,
152,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,28,10,42,63,52,3,7,22,17,126,136,415,998,1299,1198,9371,9999,,,,,,,,,,,,,,,,
153,0,8,9,15,17,42,87,60,23,7,4,9,8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,,,,,,,,,,,,,,,,,,,6301,150,,,,,,,
155,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,18,121,142,430,944,1449,1332,8272,1540,84,153,327,148,406,778,2588,6301,180,143,468,1825,480,39,38,22
156,0,8,9,15,17,42,87,104,613,7,4,9,8,45,63,94,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,0,8,9,15,17,42,87,60,73,7,4,9,8,45,34,45,42,10,48,63,58,3,7,22,18,102,180,150,142,183,120,161,198,52,62,63,91,,,,,,,,,,,,
158,0,8,9,15,17,42,87,60,73,7,4,10,8,45,23,82,16,10,48,63,52,3,7,11,,,,,,,,,,,,,,,,,,,,,,,,,
159,0,8,9,15,17,42,87,60,70,7,4,9,8,45,23,54,34,10,48,63,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,45,26,20,48,63,52,3,7,22,,,,,,,,,,,,,,,,,,,,,,,,,
161,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,36,26,10,48,63,412,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
162,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,,,10,48,63,412,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
163,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,,10,42,56,56,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
164,0,8,9,15,17,42,87,60,73,7,4,9,9,45,23,56,34,10,48,63,52,3,7,22,18,121,142,430,944,1449,1332,,,,,,,,,,,,,,,,,,
165,0,7,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,49,52,3,8,22,18,121,262,420,844,1449,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,56,26,10,48,63,52,3,7,22,,121,142,430,944,1449,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,0,8,9,15,17,42,87,60,73,7,4,9,8,43,23,46,26,10,48,63,52,3,36,22,71,72,41,53,8,9,10,11,12,71,22,33,45,81,72,,,,,,,,,,
170,0,8,9,15,17,42,87,60,,7,4,9,8,,,,,10,64,63,52,27,,,,121,94,53,71,84,79,567,7612,1782,9872,3561,371,56021,7211,7812,1977,1799,994,54,72,791,840,940,960
171,1,8,9,15,17,42,87,510,613,7,4,9,8,45,23,56,28,10,48,68,26,28,68,28,21,1011,1312,10,,,,,,,,,,,,,,,,,,,,,
172,1,8,9,15,17,430,91,50,84,7,4,8,8,48,23,60,27,10,48,61,52,27,48,32,15,121,132,430,944,1287,,,,,,,,,,,,,,,,,,,
