subnum,year,placeval,ravens,wiat,woodcock,arith,wholegroupsums,commute.prop,commute.sum,mental.rot.shapes.prop,mental.rot.shapes.sum,mental.rot.letters.prop,mental.rot.letters.sum
93,2012,1,0.666666667,0.48,0.418604651,0.333333333,0.378571429,0.5,0,0.604166667,19,0.791666667,30
94,2012,0.090909091,0.5,0.36,0.348837209,0.1875,0.171428571,0.5,0,0.75,24,0.833333333,36
95,2012,0.090909091,0.666666667,0.28,0.325581395,0.3125,0.157142857,0.583333333,3,0.479166667,-1,0.75,24
96,2012,1,0.625,0.56,0.395348837,0.3125,0.228571429,0.416666667,-1,0.520833333,2,0.8125,30
97,2012,0.545454545,0.458333333,0.44,0.395348837,0.270833333,0.457142857,0.5,0,0.4375,-6,0.604166667,12
98,2012,0.454545455,0.791666667,0.64,0.488372093,0.354166667,0.407142857,0.5,0,0.458333333,-4,0.708333333,20
99,2012,1,0.791666667,0.64,0.441860465,0.458333333,0.442857143,0.75,8,0.645833333,14,0.625,13
100,2012,0.636363636,0.375,0.6,0.465116279,0.4375,0.428571429,0.5,0,0.645833333,14,0.833333333,32
101,2012,0.272727273,0.25,0.32,0.279069767,0.270833333,0.121428571,0.5,1,0.604166667,12,0.604166667,11
102,2012,0.636363636,0.583333333,0.44,0.395348837,0.395833333,0.478571429,0.5,0,0.791666667,28,0.916666667,40
103,2012,0.181818182,0.166666667,0.24,0.372093023,0.0625,0.114285714,0.25,3,0.541666667,18,0.604166667,10
104,2012,0.636363636,0.541666667,0.44,0.372093023,0.270833333,0.335714286,0.25,1,0.458333333,15,0.770833333,26
105,2012,0,0.416666667,0.28,0.255813953,0.208333333,0.107142857,0.25,-6,0.416666667,14,0.666666667,16
106,2012,0.727272727,,0.52,0.348837209,0.291666667,0.135714286,0.416666667,-2,0.666666667,16,0.9375,42
107,2012,0.727272727,0.458333333,0.36,0.418604651,0.291666667,0.235714286,0.5,0,0.520833333,22,0.833333333,33
108,2012,0,0.416666667,0.4,0.348837209,0.375,0.228571429,0.416666667,-2,0.625,13,0.729166667,22
109,2012,1,0.5,0.48,0.465116279,0.354166667,0.271428571,0.5,0,0.541666667,4,0.9375,42
110,2012,0.636363636,0.458333333,0.6,0.372093023,0.541666667,0.7,0.5,0,0.625,15,0.6875,19
111,2012,0.909090909,0.916666667,0.4,0.372093023,0.229166667,0.364285714,0.5,0,0.75,24,0.875,36
112,2012,0.363636364,0.541666667,0.56,0.418604651,0.3125,0.285714286,0.416666667,-1,0.770833333,28,0.9375,42
113,2012,,,,,,,,,,,,
114,2012,1,0.708333333,0.32,0.372093023,0.270833333,0.271428571,0.5,0,0.791666667,32,0.958333333,45
115,2012,0.454545455,0.541666667,0.44,0.395348837,0.354166667,0.4,0.5,0,0.5,13,0.5,
116,2012,0.181818182,0.583333333,0.48,0.441860465,0.4375,0.428571429,0.416666667,-1,0.75,24,0.770833333,26
117,2012,0.363636364,0.666666667,0.56,0.372093023,0.375,0.335714286,0.5,0,0.833333333,32,0.958333333,44
118,2012,,,,,,,,,,,,
119,2012,0.545454545,0.666666667,0.44,0.372093023,0.1875,0.385714286,0.5,0,0.583333333,8,0.8125,31
120,2012,,,,,,,,,,,,
121,2012,0.545454545,0.916666667,0.4,0.372093023,0.1875,0.242857143,0.583333333,2,0.791666667,36,0.895833333,40
122,2012,0.181818182,0.125,0.36,0.348837209,0.041666667,0.378571429,0.666666667,4,0.604166667,10,0.75,24
123,2012,0.363636364,0.791666667,0.44,0.279069767,0.25,0.335714286,0.5,0,0.583333333,8,0.958333333,44
124,2012,0,0.541666667,0.6,0.441860465,0.291666667,0.442857143,0.5,0,0.666666667,18,0.9375,42
125,2012,0.363636364,0.708333333,0.48,0.418604651,0.25,0.4,0.5,0,0.9375,42,0.916666667,40
126,2012,,,,,,,,,,,,
127,2012,0.909090909,0.625,0.36,0.348837209,0.104166667,0.185714286,0.333333333,-4,0.479166667,19,0.8125,32
128,2012,1,0.958333333,0.44,0.395348837,0.375,0.35,0.5,0,0.708333333,20,0.979166667,46
129,2012,0.363636364,0.208333333,0.44,0.372093023,0.291666667,0.335714286,0.5,0,0.625,14,0.833333333,33
130,2012,0.909090909,0.625,0.56,0.488372093,0.416666667,0.3,0.5,0,0.875,36,0.854166667,34
131,2012,0.272727273,0.416666667,0.48,0.465116279,0.270833333,0.45,0.5,0,0.770833333,27,0.604166667,10
132,2012,0.272727273,0.541666667,0.04,0.093023256,0.041666667,0.007142857,0.166666667,-1,0.645833333,16,0.583333333,8
133,2012,0.363636364,0.583333333,0.44,0.325581395,0.208333333,0.271428571,0.5,0,0.729166667,22,0.6875,18
134,2012,1,0.875,0.6,0.465116279,0.3125,0.342857143,0.5,0,0.583333333,11,0.75,24
135,2012,0.545454545,0.375,0.56,0.395348837,0.25,0.178571429,0.5,0,0.604166667,18,0.895833333,39
136,2012,0,0.333333333,0.24,0.348837209,0.145833333,0.214285714,0.5,0,0.625,13,0.5625,8
137,2012,0,0.416666667,0.32,0.325581395,0.166666667,0.114285714,0.5,0,0.625,12,0.604166667,10
138,2012,0.272727273,0.5,0.24,0.325581395,0.166666667,0.257142857,0.5,0,0.645833333,16,0.791666667,28
139,2012,0,0.375,0.24,0.279069767,,0.078571429,0.583333333,2,0.5,6,0.479166667,4
140,2012,,,,,,,,,,,,
141,2012,0.818181818,0.5,0.56,0.441860465,0.395833333,0.5,0.5,0,0.5625,7,0.895833333,38
142,2012,0,0.458333333,0.24,0.23255814,0.145833333,0.157142857,0.416666667,3,0.666666667,17,0.5625,7
143,2012,1,0.5,0.28,0.395348837,0.416666667,0.171428571,0.416666667,-2,0.791666667,28,0.875,36
144,2012,1,0.583333333,0.56,0.441860465,0.375,0.378571429,0.5,0,0.541666667,11,0.666666667,16
145,2012,0.272727273,0.75,0.4,0.372093023,0.3125,0.178571429,0.75,6,0.6875,18,0.8125,30
146,2012,0.545454545,0.75,0.44,0.395348837,0.375,0.421428571,0.416666667,1,0.625,13,0.9375,44
147,2012,,,,,,,,,,,,
148,2012,0.363636364,0.416666667,0.44,0.418604651,0.333333333,0.292857143,0.583333333,2,0.729166667,22,0.770833333,26
149,2012,1,0.666666667,0.44,0.372093023,0.25,0.407142857,0.5,1,0.645833333,14,0.916666667,40
150,2012,,,,,,,,,,,,
151,2012,0.545454545,0.541666667,0.52,0.395348837,0.270833333,0.242857143,0.5,0,0.708333333,20,0.729166667,22
152,2012,0.363636364,0.708333333,0.52,0.418604651,0.208333333,0.342857143,0.5,0,0.583333333,17,0.979166667,46
153,2012,0,0.791666667,0.4,0.325581395,0.1875,0.357142857,0.5,0,0.604166667,11,0.916666667,40
154,2012,0.909090909,0.583333333,0.44,0.418604651,0.208333333,0.321428571,0.083333333,-3,0.75,24,0.75,24
155,2012,0.818181818,0.208333333,0.64,0.465116279,0.6875,0.892857143,0.666666667,4,0.708333333,20,0.708333333,20
156,2012,0.545454545,0.25,0.44,0.325581395,0.125,0.121428571,0.5,0,0.708333333,21,0.625,12
157,2012,0.818181818,0.666666667,0.56,0.372093023,0.166666667,0.35,0.5,0,0.625,13,0.916666667,41
158,2012,0.181818182,0.5,0.4,0.372093023,0.229166667,0.271428571,0.5,0,0.6875,20,0.8125,30
159,2012,0,0.416666667,0.32,0.418604651,0.270833333,0.364285714,0.583333333,2,0.645833333,14,0.6875,19
160,2012,0.909090909,0.625,0.52,0.395348837,0.375,0.421428571,0.5,0,0.729166667,24,0.9375,43
161,2012,0.818181818,0.583333333,0.52,0.395348837,0.270833333,0.342857143,0.5,0,0.625,12,0.895833333,38
162,2012,0,0.5,0.52,0.372093023,0.229166667,0.264285714,0.583333333,3,0.645833333,15,0.604166667,11
163,2012,0.181818182,0.375,0.48,0.372093023,0.208333333,0.385714286,0.5,0,0.604166667,10,0.625,13
164,2012,1,0.833333333,0.4,0.372093023,0.3125,0.435714286,0.5,0,0.666666667,16,0.979166667,46
165,2012,0.909090909,0.916666667,0.64,0.441860465,0.354166667,0.392857143,0.75,6,0.875,40,0.958333333,45
166,2012,,,,,,,,,,,,
167,2012,0.727272727,0.666666667,0.28,0.348837209,0.291666667,0.471428571,0.5,1,0.541666667,15,0.916666667,40
168,2012,,,,,,,,,,,,
169,2012,0.636363636,0.333333333,0.56,0.372093023,0.25,0.435714286,0.5,0,0.8125,30,0.645833333,14
170,2012,0.181818182,0.666666667,0.6,0.441860465,0.3125,0.171428571,0.5,0,0.583333333,9,0.958333333,45
171,2012,0.090909091,0.416666667,0.4,0.372093023,0.166666667,0.128571429,0.5,0,0.729166667,22,0.604166667,10
172,2012,0.454545455,0.375,0.44,0.395348837,0.270833333,0.328571429,0.666666667,4,0.625,12,0.9375,43
173,2012,0.181818182,0.833333333,0.64,0.395348837,0.395833333,0.335714286,0.5,0,0.8125,30,1,48
174,2012,0.909090909,0.625,0.48,0.372093023,0.291666667,0.292857143,0.416666667,1,0.5625,6,0.833333333,34
175,2012,0,0.458333333,0.32,0.209302326,0.166666667,0.178571429,0.416666667,-2,0.75,25,0.729166667,23
176,2012,0.181818182,0.541666667,0.4,0.325581395,0.208333333,0.171428571,0.25,0,0.5625,12,0.833333333,32
177,2012,1,0.708333333,0.4,0.348837209,0.375,0.328571429,0.166666667,0,0.479166667,-2,0.708333333,20
178,2012,1,0.541666667,0.56,0.465116279,0.479166667,0.442857143,0.75,7,0.5625,6,0.75,24
179,2012,1,0.5,0.56,0.372093023,0.458333333,0.428571429,0.5,0,0.770833333,26,0.645833333,14
180,2012,1,0.916666667,0.6,0.465116279,0.458333333,0.535714286,0.5,0,0.6875,28,0.875,36
181,2012,1,0.958333333,0.56,0.325581395,0.354166667,0.407142857,0.5,0,0.8125,30,0.9375,43
182,2012,0.272727273,0.458333333,0.44,0.348837209,0.291666667,0.235714286,0.416666667,1,0.8125,30,0.791666667,29
183,2012,1,0.416666667,0.48,0.395348837,0.479166667,0.371428571,0.5,0,0.75,24,0.604166667,10
184,2012,0.545454545,0.708333333,0.56,0.418604651,,0.328571429,0.5,0,0.6875,19,0.770833333,26
185,2012,0.181818182,0.541666667,0.6,0.372093023,,0.25,0.25,-3,0.479166667,-2,1,48
186,2012,0.727272727,,0.36,0.325581395,0.166666667,0.057142857,0.666666667,4,0.666666667,17,0.75,24
187,2012,0.363636364,0.75,0.44,0.348837209,0.354166667,0.285714286,0.5,0,0.541666667,4,0.645833333,16
188,2012,0.363636364,0.833333333,0.32,0.302325581,0.270833333,0.257142857,0.5,0,0.729166667,22,0.791666667,28
189,2012,1,0.666666667,0.36,0.488372093,0.3125,0.385714286,0.5,0,0.5625,6,0.875,36
190,2012,0.636363636,1,0.64,0.465116279,0.354166667,0.25,0.5,0,0.5625,6,0.895833333,38
191,2012,0.272727273,0.5,0.12,0.302325581,0.0625,0,0.75,6,0.395833333,15,0.958333333,44
192,2012,0.545454545,0.666666667,0.48,0.465116279,0.104166667,0.378571429,0.5,0,0.729166667,22,0.875,36
193,2012,1,0.875,0.32,0.325581395,0.208333333,0.214285714,0.75,6,0.729166667,25,1,48
194,2012,0.181818182,0.208333333,0.4,0.418604651,0.333333333,0.357142857,0.583333333,2,0.5625,7,0.6875,20
195,2012,1,0.583333333,0.72,0.488372093,0.520833333,0.557142857,0.5,0,0.458333333,-3,0.645833333,14
196,2012,0.909090909,0.666666667,0.56,0.418604651,0.375,0.3,0.5,0,0.666666667,16,0.645833333,14
197,2012,0.818181818,0.5,0.32,0.395348837,0.291666667,0.1,0.5,0,0.666666667,16,0.854166667,34
198,2012,0.545454545,0.541666667,0.56,0.348837209,0.25,0.364285714,0.583333333,2,0.5,7,0.833333333,33
199,2012,0.636363636,0.375,,,,0.257142857,0.5,0,,,,
200,2012,0.545454545,0.416666667,0.44,0.372093023,0.229166667,0.192857143,0.416666667,-2,0.791666667,28,0.791666667,28
201,2012,0.727272727,0.708333333,0.36,0.418604651,0.375,0.407142857,0.416666667,-2,0.458333333,-4,0.791666667,30
202,2012,0.363636364,0.75,0.48,0.418604651,0.270833333,0.278571429,0.416666667,-2,0.666666667,18,0.729166667,24
203,2012,0.545454545,0.458333333,0.6,0.488372093,0.375,0.442857143,0.75,6,0.479166667,9,0.875,36
204,2012,1,0.666666667,0.56,0.325581395,0.3125,0.378571429,0.5,0,0.583333333,13,0.895833333,40
205,2012,0.181818182,0.458333333,0.44,0.325581395,0.3125,0.335714286,0.583333333,2,0.583333333,9,0.833333333,32
206,2012,0.272727273,0.458333333,0.48,0.348837209,0.333333333,0.2,0.5,0,0.5,0,0.5625,6
207,2012,0.909090909,0.666666667,0.64,0.465116279,0.583333333,0.6,0.666666667,4,0.604166667,10,0.8125,30
208,2012,0.909090909,0.708333333,0.48,0.372093023,0.229166667,0.385714286,0.5,0,0.6875,18,0.8125,30
209,2012,0.909090909,0.958333333,0.6,0.465116279,0.375,0.314285714,0.5,0,0.729166667,22,0.916666667,40
210,2012,0.909090909,0.791666667,0.48,0.395348837,0.375,0.3,0.666666667,4,0.5,16,0.875,37
211,2012,0.363636364,0.375,0.48,0.418604651,0.354166667,0.385714286,0.333333333,-4,0.625,13,0.6875,18
212,2012,0.545454545,0.5,0.56,0.395348837,0.270833333,0.507142857,0.583333333,2,0.479166667,-2,0.666666667,16
213,2012,0.090909091,0.458333333,0.32,0.348837209,0.166666667,0.192857143,0.583333333,2,0.5625,6,0.708333333,20
214,2012,,,,,,,,,,,,
215,2012,0.181818182,0.458333333,0.24,0.302325581,0.020833333,0.121428571,0.666666667,4,0.625,12,0.791666667,28
218,2012,,,,,,,,,,,,
