subnum,year,placeval,ravens,wiat,woodcock,arith,wholegroupsums,commute.prop,commute.sum,mental.rot.shapes.prop,mental.rot.shapes.sum,mental.rot.letters.prop,mental.rot.letters.sum
43,2013,1,0.458333333,0.8,0.558139535,0.875,0.921428571,0.5,0,0.645833333,16,0.979166667,46
44,2013,0.9,0.458333333,0.64,0.465116279,0.541666667,0.421428571,0.5,0,0.708333333,20,0.729166667,22
45,2013,0.3,0.375,0.68,0.465116279,0.208333333,0.228571429,0.583333333,2,0.5625,7,0.708333333,20
46,2013,0.2,0.5,0.32,0.23255814,0.0625,0.092857143,0.5,0,0.625,12,0.770833333,26
47,2013,0.8,0.291666667,0.88,0.581395349,0.625,0.521428571,0.5,0,0.666666667,16,0.958333333,44
48,2013,1,0.625,0.8,0.581395349,0.458333333,0.457142857,0.5,0,0.791666667,28,0.958333333,45
49,2013,0.5,0.458333333,0.48,0.441860465,0.3125,0.414285714,0.416666667,-2,0.8125,32,0.958333333,45
50,2013,0.7,0.625,0.76,0.511627907,0.541666667,0.435714286,0.5,0,0.666666667,16,0.895833333,40
51,2013,1,0.458333333,0.52,0.488372093,0.520833333,0.45,0.5,0,0.583333333,11,0.75,24
52,2013,1,0.625,0.84,0.581395349,0.541666667,0.435714286,0.583333333,2,0.583333333,8,0.9375,42
53,2013,1,0.333333333,0.48,0.418604651,0.375,0.342857143,0.5,0,0.604166667,11,0.958333333,44
54,2013,1,0.791666667,0.84,0.534883721,0.604166667,0.521428571,0.5,0,0.895833333,38,1,48
55,2013,,,,,,,,,,,,
56,2013,0.5,0.458333333,0.4,0.372093023,0.208333333,0.228571429,0.5,0,0.5625,10,0.833333333,34
57,2013,,,,,,,,,,,,
58,2013,1,0.708333333,0.84,0.534883721,0.625,0.414285714,0.5,0,0.625,12,0.979166667,46
59,2013,0,0.041666667,0.12,0.255813953,0.145833333,0.042857143,0.25,2,0.583333333,8,0.5625,15
60,2013,0.4,0.666666667,0.56,0.418604651,0.479166667,0.471428571,0.5,0,0.770833333,26,0.708333333,20
61,2013,,,,,,,,,,,,
62,2013,0.6,0.625,0.4,0.441860465,0.3125,0.328571429,0.5,0,0.583333333,10,0.854166667,34
63,2013,1,0.666666667,0.72,0.511627907,0.541666667,0.528571429,0.416666667,-2,0.666666667,16,0.791666667,28
64,2013,1,0.25,0.6,0.418604651,0.395833333,0.421428571,0.5,0,0.708333333,22,0.625,14
65,2013,0.4,0.375,0.52,0.465116279,0.416666667,0.485714286,0.25,-6,0.791666667,32,0.9375,42
66,2013,0.9,0.625,0.64,0.441860465,0.520833333,0.542857143,0.5,0,0.416666667,14,0.979166667,46
67,2013,0.1,0.458333333,0.2,0.325581395,0.083333333,0.135714286,0.5,0,0.395833333,-9,0.6875,19
68,2013,0.9,0.916666667,0.56,0.534883721,0.291666667,0.464285714,0.5,0,0.729166667,22,1,48
69,2013,0.4,0.583333333,0.64,0.534883721,0.3125,0.378571429,0.5,0,0.770833333,26,0.895833333,38
70,2013,0.2,0.541666667,0.68,0.488372093,0.354166667,0.521428571,0.5,0,0.708333333,21,0.895833333,38
71,2013,1,0.625,0.72,0.581395349,0.5625,0.4,0.5,0,0.9375,42,0.958333333,44
72,2013,1,0.291666667,0.84,0.604651163,0.729166667,0.592857143,0.5,0,0.791666667,28,0.791666667,28
73,2013,1,0.541666667,0.44,0.395348837,0.354166667,0.414285714,0.333333333,3,0.604166667,17,0.979166667,46
74,2013,1,0.625,0.76,0.558139535,0.416666667,0.464285714,0.5,0,0.75,24,0.875,36
75,2013,1,0.875,0.76,0.558139535,0.5,0.528571429,1,12,0.770833333,26,0.875,36
76,2013,1,0.75,0.8,0.558139535,0.541666667,0.478571429,0.75,6,0.770833333,27,0.708333333,20
77,2013,,,,,,,,,,,,
78,2013,,,,,,,,,,,,
79,2013,0.9,0.75,0.88,0.558139535,0.583333333,0.435714286,1,12,0.770833333,26,1,48
80,2013,0.9,0.166666667,0.32,0.418604651,0.3125,0.4,0,-2,0.708333333,20,0.791666667,28
81,2013,0.9,0.208333333,0.44,0.395348837,0.125,0.135714286,0.5,0,0.4375,-6,0.666666667,16
82,2013,1,0.208333333,0.64,0.465116279,0.625,0.657142857,0.5,0,0.9375,42,0.9375,44
83,2013,0,0.208333333,0.28,0.395348837,0.125,0.35,0.666666667,4,0.729166667,22,0.625,13
84,2013,1,0.375,0.52,0.372093023,0.208333333,0.414285714,0.5,0,0.708333333,20,0.875,36
85,2013,0.8,0.25,0.52,0.372093023,0.291666667,0.278571429,0.416666667,-2,0.666666667,16,0.6875,18
86,2013,0.7,0.333333333,0.24,0.372093023,0.0625,0.1,0.416666667,-2,0.75,24,0.770833333,26
87,2013,0.9,0.708333333,0.6,0.418604651,0.270833333,0.221428571,0.5,0,0.5625,18,0.895833333,38
88,2013,0.4,0.5,0.48,0.395348837,0.4375,0.235714286,0.5,5,0.583333333,23,0.916666667,42
89,2013,1,0.875,0.84,0.581395349,0.479166667,0.485714286,0.5,0,0.895833333,39,0.895833333,38
90,2013,0.3,0.5,0.6,0.418604651,0.291666667,0.292857143,0.416666667,-2,0.583333333,9,0.979166667,46
91,2013,0.1,0.458333333,0.44,0.372093023,0.375,0.342857143,0.5,0,0.729166667,22,0.958333333,44
92,2013,0.9,0.791666667,0.48,0.488372093,0.5,0.335714286,0.5,0,0.8125,30,1,48
93,2013,0.9,0.625,0.72,0.534883721,0.354166667,0.478571429,0.75,6,0.770833333,26,0.770833333,26
94,2013,0,0.25,0.4,0.372093023,0.354166667,0.485714286,0.5,0,0.75,24,0.875,36
95,2013,0.1,0.458333333,0.44,0.372093023,0.291666667,0.478571429,0.666666667,4,0.479166667,-2,0.916666667,40
96,2013,1,0.666666667,0.72,0.534883721,0.395833333,0.357142857,0.5,0,0.5,0,0.875,36
97,2013,0.9,0.541666667,0.6,0.441860465,0.395833333,0.371428571,0.5,0,0.541666667,4,0.75,24
98,2013,1,0.708333333,0.8,0.558139535,0.4375,0.421428571,0.5,0,0.75,24,0.958333333,44
99,2013,0.9,0.75,0.72,0.604651163,0.604166667,0.55,0.5,0,0.75,25,0.895833333,38
100,2013,1,0.791666667,0.84,0.581395349,0.520833333,0.485714286,0.5,0,0.854166667,34,0.979166667,46
101,2013,0.6,0.166666667,0.36,0.418604651,0.25,0.271428571,0.666666667,4,0.458333333,-4,0.666666667,16
102,2013,0.6,0.5,0.6,0.511627907,0.395833333,0.564285714,0.5,0,0.8125,30,1,48
103,2013,0.1,0.5,0.4,0.348837209,0.333333333,0.421428571,0.5,0,0.729166667,22,0.875,36
104,2013,0.7,0.541666667,0.48,0.372093023,0.354166667,0.428571429,0.5,0,0.458333333,4,0.666666667,18
105,2013,0,0.25,0.36,0.372093023,0.208333333,0.121428571,0.583333333,5,0.645833333,14,0.583333333,8
106,2013,1,0.375,0.56,0.511627907,0.375,0.414285714,0.5,0,0.354166667,-14,0.75,28
107,2013,1,0.791666667,0.52,0.465116279,0.416666667,0.471428571,0.5,0,0.6875,19,0.9375,43
108,2013,0.3,0.583333333,0.56,0.441860465,0.541666667,0.685714286,0.5,0,0.625,12,0.854166667,34
109,2013,1,0.625,0.48,0.465116279,0.416666667,0.135714286,0.5,0,0.520833333,4,0.854166667,39
110,2013,0.5,0.25,0.72,0.465116279,0.75,0.785714286,0.75,6,0.729166667,22,0.791666667,28
111,2013,1,0.791666667,0.68,0.441860465,0.208333333,0.342857143,0.583333333,2,0.645833333,14,0.854166667,36
112,2013,0.9,0.5,0.72,0.488372093,0.395833333,0.442857143,0.583333333,2,0.6875,19,0.979166667,46
113,2013,,,,,,,,,,,,
114,2013,1,0.583333333,0.76,0.465116279,0.375,0.392857143,0.5,0,0.770833333,33,1,48
115,2013,0.8,0.666666667,0.6,0.488372093,0.4375,0.471428571,0.75,6,0.5625,6,0.791666667,28
116,2013,0.7,0.333333333,0.68,0.581395349,0.5625,0.742857143,0.5,1,0.625,12,0.9375,42
117,2013,1,0.708333333,0.64,0.418604651,0.395833333,0.535714286,0.5,0,0.916666667,40,0.9375,42
118,2013,,,,,,,,,,,,
119,2013,0.6,0.833333333,0.68,0.488372093,0.3125,0.435714286,0.5,0,0.583333333,10,0.770833333,29
120,2013,,,,,,,,,,,,
121,2013,,,,,,,,,,,,
122,2013,0.3,0.125,0.56,0.418604651,0.395833333,0.414285714,0.5,0,0.729166667,22,0.791666667,28
123,2013,0.7,0.666666667,0.68,0.441860465,0.4375,0.392857143,0.416666667,-2,0.645833333,15,1,48
124,2013,0.9,0.833333333,0.6,0.465116279,0.395833333,0.535714286,1,12,0.625,12,0.9375,43
125,2013,0.7,0.833333333,0.68,0.488372093,0.520833333,0.485714286,0.5,0,0.9375,42,0.916666667,40
126,2013,,,,,,,,,,,,
127,2013,1,0.708333333,0.64,0.488372093,0.291666667,0.25,0.416666667,-2,0.75,25,0.916666667,41
128,2013,1,0.666666667,0.44,0.395348837,0.395833333,0.314285714,0.583333333,2,0.604166667,10,1,48
129,2013,1,0.458333333,0.76,0.534883721,0.5,0.328571429,0.5,0,0.6875,26,0.875,37
130,2013,1,0.791666667,0.6,0.558139535,0.458333333,0.285714286,0.583333333,2,0.75,24,0.895833333,38
131,2013,0.1,0.375,0.4,0.395348837,0.291666667,0.471428571,0.5,0,0.6875,18,0.770833333,26
132,2013,,,,,,,,,,,,
133,2013,0.3,0.541666667,0.44,0.418604651,0.229166667,0.442857143,0.5,0,0.6875,18,0.708333333,23
134,2013,1,0.666666667,0.72,0.511627907,0.458333333,0.5,0.5,0,0.729166667,23,0.791666667,30
135,2013,0.7,0.625,0.72,0.511627907,0.4375,0.364285714,0.5,0,0.833333333,36,1,48
136,2013,0.6,0.458333333,0.52,0.441860465,0.25,0.314285714,0.5,0,0.625,12,0.583333333,8
137,2013,0,0.375,0.6,0.395348837,0.270833333,0.064285714,0.666666667,4,0.6875,18,0.791666667,28
138,2013,0.7,0.583333333,0.32,0.372093023,0.208333333,0.157142857,0.583333333,2,0.708333333,20,0.895833333,40
139,2013,0.2,0.25,0.24,0.348837209,0.125,0.164285714,0.5,0,0.479166667,-2,0.6875,20
140,2013,,,,,,,,,,,,
141,2013,1,0.625,0.68,0.511627907,0.5625,0.728571429,0.5,0,0.583333333,8,0.8125,32
142,2013,0,0.458333333,0.4,0.372093023,0.166666667,0.321428571,0.5,0,0.625,13,0.75,24
143,2013,,,,,,,,,,,,
144,2013,1,0.625,0.64,0.418604651,0.541666667,0.607142857,0.5,0,0.458333333,-1,0.895833333,38
145,2013,0.6,0.666666667,0.68,0.465116279,0.354166667,0.5,0.5,0,0.833333333,33,0.9375,42
146,2013,1,0.5,0.68,0.488372093,0.5625,0.55,0.5,0,0.645833333,14,0.958333333,46
147,2013,,,,,,,,,,,,
148,2013,1,0.75,0.68,0.534883721,0.75,0.828571429,0.5,0,0.833333333,32,0.875,36
149,2013,1,0.583333333,0.72,0.534883721,0.333333333,0.528571429,0.5,0,0.8125,30,0.833333333,32
150,2013,,,,,,,,,,,,
151,2013,0.4,0.583333333,0.56,0.418604651,0.125,0.442857143,0.416666667,-2,0.583333333,8,0.791666667,28
152,2013,0.8,0.833333333,0.84,0.558139535,0.4375,0.407142857,0.5,0,0.666666667,16,1,48
153,2013,0.3,0.75,0.4,0.418604651,0.25,0.414285714,0.5,0,0.625,26,0.833333333,37
154,2013,1,0.708333333,0.56,0.511627907,0.4375,0.464285714,0.5,0,0.666666667,16,0.916666667,40
155,2013,1,0.541666667,0.84,0.604651163,0.875,0.985714286,0.416666667,-1,0.770833333,26,0.666666667,16
156,2013,0.2,0.25,0.32,0.348837209,0.229166667,0.164285714,0.583333333,2,0.625,13,0.6875,19
157,2013,0.9,0.5,0.72,0.488372093,0.416666667,0.271428571,0.5,0,0.645833333,14,0.8125,30
158,2013,0.2,0.75,0.6,0.372093023,0.395833333,0.371428571,0.5,0,0.625,18,0.9375,42
159,2013,0.9,0.416666667,0.4,0.395348837,0.354166667,0.357142857,0.5,0,0.666666667,17,0.833333333,34
160,2013,1,0.583333333,0.44,0.488372093,0.4375,0.442857143,0.5,0,0.729166667,27,0.9375,42
161,2013,1,0.416666667,0.72,0.534883721,0.416666667,0.392857143,0.5,0,0.625,25,0.958333333,44
162,2013,1,0.083333333,0.56,0.488372093,0.395833333,0.392857143,0.416666667,-2,0.666666667,16,0.645833333,14
163,2013,1,0.458333333,0.68,0.534883721,0.354166667,0.421428571,0.5,0,0.6875,18,0.770833333,26
164,2013,1,0.833333333,0.6,0.465116279,0.5625,0.5,0.5,0,0.916666667,40,1,48
165,2013,1,0.875,0.76,0.558139535,0.479166667,0.528571429,0.5,0,0.9375,43,0.979166667,47
166,2013,,,,,,,,,,,,
167,2013,0.9,0.541666667,0.68,0.511627907,0.5625,0.55,0.75,6,0.604166667,23,0.916666667,43
168,2013,,,,,,,,,,,,
169,2013,0.9,0.583333333,0.72,0.581395349,0.4375,0.457142857,0.5,0,0.729166667,22,0.75,24
170,2013,0.7,0.458333333,0.6,0.395348837,0.3125,0.135714286,0.5,0,0.6875,18,1,48
171,2013,0.5,0.458333333,0.4,0.372093023,0.291666667,0.342857143,0.5,0,0.875,36,0.729166667,22
172,2013,1,0.5,0.6,0.465116279,0.291666667,0.414285714,0.5,0,0.791666667,28,0.979166667,46
173,2013,1,0.708333333,0.72,0.558139535,0.5625,0.542857143,0.5,0,0.833333333,32,0.958333333,44
174,2013,1,0.666666667,0.44,0.441860465,0.354166667,0.371428571,0.5,0,0.666666667,17,1,48
175,2013,,,,,,,,,,,,
176,2013,0.4,0.541666667,0.48,0.395348837,0.270833333,0.264285714,0.833333333,8,0.645833333,17,0.875,37
177,2013,0.9,0.75,0.48,0.488372093,0.5,0.492857143,0.5,0,0.833333333,32,0.9375,42
178,2013,1,0.583333333,0.72,0.604651163,0.583333333,0.585714286,0.75,6,0.708333333,21,0.916666667,40
179,2013,1,0.5,0.68,0.534883721,0.583333333,0.492857143,0.5,1,0.770833333,26,0.6875,21
180,2013,1,0.583333333,0.72,0.465116279,0.375,0.457142857,0.5,0,0.833333333,32,0.916666667,40
181,2013,1,0.833333333,0.52,0.465116279,0.333333333,0.478571429,0.416666667,-2,0.666666667,18,0.958333333,44
182,2013,0.6,0.666666667,0.76,0.441860465,0.333333333,0.4,0.5,0,0.645833333,14,0.75,24
183,2013,1,0.458333333,0.72,0.558139535,0.729166667,0.642857143,0.75,6,0.791666667,28,0.791666667,28
184,2013,1,0.75,0.72,0.558139535,0.5,0.492857143,0.583333333,2,0.6875,18,0.9375,42
185,2013,,,,,,,,,,,,
186,2013,1,0.291666667,0.44,0.395348837,0.395833333,0.414285714,0.5,0,0.583333333,13,0.875,36
187,2013,1,0.125,0.72,0.511627907,0.520833333,0.6,0.666666667,7,0.708333333,20,0.770833333,26
188,2013,0.5,0.333333333,0.48,0.348837209,0.416666667,0.4,0.5,0,0.666666667,16,0.916666667,40
189,2013,1,0.833333333,0.84,0.558139535,0.520833333,0.471428571,0.5,0,0.916666667,40,0.979166667,46
190,2013,1,0.791666667,0.6,0.488372093,0.5625,0.464285714,0.5,0,0.770833333,26,0.9375,42
191,2013,0,0.583333333,0.24,0.279069767,0.208333333,0.014285714,0.5,3,0.770833333,26,0.958333333,45
192,2013,0.6,0.875,0.64,0.511627907,0.5625,0.521428571,0.5,0,0.833333333,32,1,48
193,2013,1,0.791666667,0.48,0.441860465,0.333333333,0.292857143,0.583333333,2,0.791666667,29,0.979166667,46
194,2013,0.3,0.458333333,0.48,0.511627907,0.4375,0.514285714,0.5,0,0.708333333,22,0.708333333,20
195,2013,1,0.625,0.84,0.604651163,0.666666667,0.685714286,0.5,0,0.6875,18,0.875,36
196,2013,1,0.791666667,0.68,0.534883721,0.5625,0.507142857,0.5,0,0.708333333,22,0.895833333,38
197,2013,,,,,,,,,,,,
198,2013,0.8,0.208333333,0.6,0.465116279,0.395833333,0.385714286,0.5,0,0.708333333,20,0.916666667,41
199,2013,0.8,0.625,0.52,0.465116279,0.458333333,0.514285714,0.5,0,0.770833333,26,0.895833333,38
200,2013,0.2,0.333333333,0.68,0.488372093,0.3125,0.228571429,0.5,0,0.583333333,8,0.916666667,40
201,2013,0.9,0.416666667,0.72,0.511627907,0.5625,0.557142857,0.5,0,0.708333333,20,0.729166667,22
202,2013,0.5,0.416666667,0.56,0.418604651,0.354166667,0.414285714,0.583333333,2,0.6875,18,0.8125,31
203,2013,0.9,0.541666667,0.6,0.511627907,0.479166667,0.442857143,0.666666667,4,0.6875,19,0.8125,35
204,2013,1,0.458333333,0.6,0.534883721,0.4375,0.485714286,0.5,0,0.604166667,10,0.895833333,38
205,2013,0.6,0.416666667,0.52,0.418604651,0.395833333,0.364285714,0.5,0,0.6875,18,0.916666667,41
206,2013,0.6,0.291666667,0.44,0.348837209,0.375,0.342857143,0.5,0,0.5,0,0.75,24
207,2013,0.8,0.416666667,0.72,0.581395349,0.6875,0.735714286,0.583333333,2,0.583333333,8,0.833333333,32
208,2013,0.1,0.458333333,0.44,0.395348837,0.375,0.507142857,0.5,0,0.729166667,22,0.916666667,40
209,2013,1,0.708333333,0.72,0.418604651,0.458333333,0.364285714,0.5,0,0.75,25,0.958333333,45
210,2013,0.9,0.75,0.28,0.395348837,0.354166667,0.385714286,0.583333333,2,0.708333333,20,0.9375,42
211,2013,0.5,0.75,0.72,0.465116279,0.4375,0.457142857,0.75,6,0.541666667,8,0.75,26
212,2013,0.5,0.708333333,0.8,0.511627907,0.604166667,0.592857143,0.5,0,0.541666667,4,0.979166667,46
213,2013,0.1,0.333333333,0.36,0.372093023,0.1875,0.05,0.666666667,4,0.625,12,0.708333333,25
214,2013,,,,,,,,,,,,
215,2013,0.8,0.625,0.52,0.418604651,0.1875,0.078571429,0.5,0,0.75,24,0.916666667,40
218,2013,,,,,,,,,,,,
